threshold,accuracy,f1,tn,fp,fn,tp,similarity_type,dataset,baseline_similarity,is_best_threshold
0.0,0.45666666666666667,0.6270022883295194,0,163,0,137,combined_similarity,300_GT.csv,combined_similarity,0
0.01,0.45666666666666667,0.6270022883295194,0,163,0,137,combined_similarity,300_GT.csv,combined_similarity,0
0.02,0.45666666666666667,0.6270022883295194,0,163,0,137,combined_similarity,300_GT.csv,combined_similarity,0
0.03,0.45666666666666667,0.6270022883295194,0,163,0,137,combined_similarity,300_GT.csv,combined_similarity,0
0.04,0.45666666666666667,0.6270022883295194,0,163,0,137,combined_similarity,300_GT.csv,combined_similarity,0
0.05,0.45666666666666667,0.6270022883295194,0,163,0,137,combined_similarity,300_GT.csv,combined_similarity,0
0.06,0.4633333333333333,0.6298850574712643,2,161,0,137,combined_similarity,300_GT.csv,combined_similarity,0
0.07,0.4666666666666667,0.631336405529954,3,160,0,137,combined_similarity,300_GT.csv,combined_similarity,0
0.08,0.47,0.6310904872389791,5,158,1,136,combined_similarity,300_GT.csv,combined_similarity,0
0.09,0.48333333333333334,0.6352941176470588,10,153,2,135,combined_similarity,300_GT.csv,combined_similarity,0
0.1,0.5,0.6411483253588517,16,147,3,134,combined_similarity,300_GT.csv,combined_similarity,0
0.11,0.52,0.6504854368932039,22,141,3,134,combined_similarity,300_GT.csv,combined_similarity,0
0.12,0.5366666666666666,0.6533665835411472,30,133,6,131,combined_similarity,300_GT.csv,combined_similarity,0
0.13,0.56,0.65625,42,121,11,126,combined_similarity,300_GT.csv,combined_similarity,0
0.14,0.5733333333333334,0.6521739130434783,52,111,17,120,combined_similarity,300_GT.csv,combined_similarity,0
0.15,0.6,0.6590909090909091,64,99,21,116,combined_similarity,300_GT.csv,combined_similarity,0
0.16,0.61,0.6548672566371682,72,91,26,111,combined_similarity,300_GT.csv,combined_similarity,0
0.17,0.62,0.6503067484662577,80,83,31,106,combined_similarity,300_GT.csv,combined_similarity,0
0.18,0.6366666666666667,0.6561514195583596,87,76,33,104,combined_similarity,300_GT.csv,combined_similarity,0
0.19,0.6366666666666667,0.6426229508196721,93,70,39,98,combined_similarity,300_GT.csv,combined_similarity,0
0.2,0.6333333333333333,0.6258503401360545,98,65,45,92,combined_similarity,300_GT.csv,combined_similarity,0
0.21,0.6333333333333333,0.6180555555555556,101,62,48,89,combined_similarity,300_GT.csv,combined_similarity,0
0.22,0.6433333333333333,0.6164874551971327,107,56,51,86,combined_similarity,300_GT.csv,combined_similarity,0
0.23,0.6366666666666667,0.5947955390334573,111,52,57,80,combined_similarity,300_GT.csv,combined_similarity,0
0.24,0.6466666666666666,0.5984848484848485,115,48,58,79,combined_similarity,300_GT.csv,combined_similarity,0
0.25,0.64,0.578125,118,45,63,74,combined_similarity,300_GT.csv,combined_similarity,0
0.26,0.6466666666666666,0.5725806451612904,123,40,66,71,combined_similarity,300_GT.csv,combined_similarity,0
0.27,0.66,0.5785123966942148,128,35,67,70,combined_similarity,300_GT.csv,combined_similarity,1
